"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","maternal_mortality","health_spending","gini"
"5626","Mexico",1821,NA,26.9,6.8,NA,NA,NA,NA,NA
"5627","Micronesia, Fed. Sts.",1821,NA,26.7,6.02,NA,NA,NA,NA,NA
"5628","Moldova",1821,NA,33.15,6.39,NA,NA,NA,NA,NA
"5629","Monaco",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5630","Mongolia",1821,NA,31.8,5.94,NA,NA,NA,NA,NA
"5631","Montenegro",1821,NA,35.4,5.9,NA,NA,NA,NA,NA
"5632","Montserrat",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5633","Morocco",1821,NA,33.1,6.5,NA,NA,NA,NA,NA
"5634","Mozambique",1821,NA,30.28,6.63,NA,NA,NA,NA,NA
"5635","Myanmar",1821,NA,30.8,6.03,NA,NA,NA,NA,NA
"5636","Namibia",1821,NA,32.4,5.96,NA,NA,NA,NA,NA
"5637","Nauru",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5638","Nepal",1821,NA,32.8,6.15,NA,NA,NA,NA,NA
"5639","Netherlands",1821,NA,39.86,5.11,NA,NA,NA,NA,NA
"5640","Netherlands Antilles",1821,NA,34.41,5.8,NA,NA,NA,NA,NA
"5641","New Caledonia",1821,NA,26,6.41,NA,NA,NA,NA,NA
"5642","New Zealand",1821,NA,34.05,5.25,NA,NA,NA,NA,NA
"5643","Ngorno-Karabakh",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5644","Nicaragua",1821,NA,25.4,6.16,NA,NA,NA,NA,NA
"5645","Niger",1821,NA,30.8,6.83,NA,NA,NA,NA,NA
"5646","Nigeria",1821,NA,30.4,6.55,NA,NA,NA,NA,NA
"5647","Niue",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5648","Norfolk Island",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5649","Northern Cyprus",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5650","Northern Mariana Islands",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5651","Norway",1821,NA,44.69,5,NA,NA,NA,NA,NA
"5652","Oman",1821,NA,32.3,6.88,NA,NA,NA,NA,NA
"5653","Pakistan",1821,NA,25.8,6.59,NA,NA,NA,NA,NA
"5654","Palau",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5655","Panama",1821,NA,32.9,5.36,NA,NA,NA,NA,NA
"5656","Papua New Guinea",1821,NA,31.5,6.23,NA,NA,NA,NA,NA
"5657","Paraguay",1821,NA,35.5,6.49,NA,NA,NA,NA,NA
"5658","Peru",1821,NA,35.7,6.82,NA,NA,NA,NA,NA
"5659","Philippines",1821,NA,30.9,6.87,NA,NA,NA,NA,NA
"5660","Pitcairn",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5661","Poland",1821,NA,35.9,6.3,NA,NA,NA,NA,NA
"5662","Portugal",1821,NA,35.6,4.5,NA,NA,NA,NA,NA
"5663","Puerto Rico",1821,NA,30.43,5.15,NA,NA,NA,NA,NA
"5664","Qatar",1821,NA,30.8,6.97,NA,NA,NA,NA,NA
"5665","Reunion",1821,NA,33,6.51,NA,NA,NA,NA,NA
"5666","Romania",1821,NA,35.7,5.22,NA,NA,NA,NA,NA
"5667","Russia",1821,NA,29.57,7,NA,NA,NA,NA,NA
"5668","Rwanda",1821,NA,31.8,7.07,NA,NA,NA,NA,NA
"5669","St. Barthélemy",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5670","St. Helena",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5671","St. Kitts and Nevis",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5672","St. Lucia",1821,NA,28.01,5.53,NA,NA,NA,NA,NA
"5673","St. Martin",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5674","St. Vincent and the Grenadines",1821,NA,25.99,6.54,NA,NA,NA,NA,NA
"5675","St.-Pierre-et-Miquelon",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5676","Samoa",1821,NA,25.4,6.98,NA,NA,NA,NA,NA
"5677","San Marino",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5678","Sao Tome and Principe",1821,NA,31,6.23,NA,NA,NA,NA,NA
"5679","Saudi Arabia",1821,NA,32.1,6.86,NA,NA,NA,NA,NA
"5680","Senegal",1821,NA,25.2,5.7,NA,NA,NA,NA,NA
"5681","Serbia",1821,NA,35.5,5.9,NA,NA,NA,NA,NA
"5682","Serbia and Montenegro",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5683","Serbia excluding Kosovo",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5684","Seychelles",1821,NA,37,5.16,NA,NA,NA,NA,NA
"5685","Sierra Leone",1821,NA,25.1,5.72,NA,NA,NA,NA,NA
"5686","Singapore",1821,NA,31.06,5.39,NA,NA,NA,NA,NA
"5687","Slovak Republic",1821,NA,36.4,5.94,NA,NA,NA,NA,NA
"5688","Slovenia",1821,NA,36.6,4.71,NA,NA,NA,NA,NA
"5689","Solomon Islands",1821,NA,25.1,6.42,NA,NA,NA,NA,NA
"5690","Somalia",1821,NA,29.4,6.87,NA,NA,NA,NA,NA
"5691","Somaliland",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5692","South Africa",1821,NA,33.5,6.47,NA,NA,NA,NA,NA
"5693","South Ossetia",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5694","Spain",1821,NA,29.5,5.13,NA,NA,NA,NA,NA
"5695","Sri Lanka",1821,NA,32.6,5.68,NA,NA,NA,NA,NA
"5696","Sudan",1821,NA,31.4,6.64,NA,NA,NA,NA,NA
"5697","Suriname",1821,NA,32.9,6.58,NA,NA,NA,NA,NA
"5698","Svalbard",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5699","Swaziland",1821,NA,32.3,6.71,NA,NA,NA,NA,NA
"5700","Sweden",1821,176,38.14,5.03,NA,NA,754.8,NA,NA
"5701","Switzerland",1821,NA,38,4.14,NA,NA,NA,NA,NA
"5702","Syria",1821,NA,31.1,6.85,NA,NA,NA,NA,NA
"5703","Taiwan",1821,NA,28.3,5.83,NA,NA,NA,NA,NA
"5704","Tajikistan",1821,NA,24.24,5.87,NA,NA,NA,NA,NA
"5705","Tanzania",1821,NA,32.2,6.74,NA,NA,NA,NA,NA
"5706","Thailand",1821,NA,30.4,6.35,NA,NA,NA,NA,NA
"5707","Timor-Leste",1821,NA,28.95,6.52,NA,NA,NA,NA,NA
"5708","Togo",1821,NA,31.3,6.34,NA,NA,NA,NA,NA
"5709","Tokelau",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5710","Tonga",1821,NA,28.2,6.51,NA,NA,NA,NA,NA
"5711","Transnistria",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5712","Trinidad and Tobago",1821,NA,32.9,4.49,NA,NA,NA,NA,NA
"5713","Tunisia",1821,NA,28.8,6.4,NA,NA,NA,NA,NA
"5714","Turkey",1821,NA,35,6.92,NA,NA,NA,NA,NA
"5715","Turkmenistan",1821,NA,24,6.22,NA,NA,NA,NA,NA
"5716","Turks and Caicos Islands",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5717","Tuvalu",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5718","Uganda",1821,NA,25.3,6.89,NA,NA,NA,NA,NA
"5719","Ukraine",1821,NA,36.6,7.5,NA,NA,NA,NA,NA
"5720","United Arab Emirates",1821,NA,30.7,6.94,NA,NA,NA,NA,NA
"5721","United Kingdom",1821,NA,41.78,5.55,NA,NA,NA,NA,NA
"5722","United States",1821,NA,39.41,6.57,NA,NA,NA,NA,NA
"5723","Uruguay",1821,NA,32.9,5.9,NA,NA,NA,NA,NA
"5724","USSR",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5725","Uzbekistan",1821,NA,26.93,5.71,NA,NA,NA,NA,NA
"5726","Wallis et Futuna",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5727","Vanuatu",1821,NA,24.3,6.6,NA,NA,NA,NA,NA
"5728","Venezuela",1821,NA,32.2,5.71,NA,NA,NA,NA,NA
"5729","West Bank and Gaza",1821,NA,32.1,6.97,NA,NA,NA,NA,NA
"5730","West Germany",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5731","Western Sahara",1821,NA,34.75,6.32,NA,NA,NA,NA,NA
"5732","Vietnam",1821,NA,32,4.7,NA,NA,NA,NA,NA
"5733","Virgin Islands (U.S.)",1821,NA,33.4,5.55,NA,NA,NA,NA,NA
"5734","North Yemen (former)",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5735","South Yemen (former)",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5736","Yemen",1821,NA,23.39,6.88,NA,NA,NA,NA,NA
"5737","Yugoslavia",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5738","Zambia",1821,NA,32.6,6.71,NA,NA,NA,NA,NA
"5739","Zimbabwe",1821,NA,33.7,6.75,NA,NA,NA,NA,NA
"5740","Åland",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5741","Åland",1821,NA,NA,NA,NA,NA,NA,NA,NA
"5742","South Sudan",1821,NA,26.67,NA,NA,NA,NA,NA,NA
"5743","Abkhazia",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5744","Afghanistan",1822,NA,27.99,7,NA,NA,NA,NA,NA
"5745","Akrotiri and Dhekelia",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5746","Albania",1822,NA,35.4,4.6,NA,NA,NA,NA,NA
"5747","Algeria",1822,NA,28.82,6.99,NA,NA,NA,NA,NA
"5748","American Samoa",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5749","Andorra",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5750","Angola",1822,NA,26.98,6.95,NA,NA,NA,NA,NA
"5751","Anguilla",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5752","Antigua and Barbuda",1822,NA,33.54,4.92,NA,NA,NA,NA,NA
"5753","Argentina",1822,NA,33.2,6.8,NA,NA,NA,NA,NA
"5754","Armenia",1822,NA,34,7.87,NA,NA,NA,NA,NA
"5755","Aruba",1822,NA,34.42,5.64,NA,NA,NA,NA,NA
"5756","Australia",1822,NA,34.05,6.06,NA,NA,NA,NA,NA
"5757","Austria",1822,198,34.4,5.1,NA,NA,NA,NA,NA
"5758","Azerbaijan",1822,NA,29.17,8.1,NA,NA,NA,NA,NA
"5759","Bahamas",1822,NA,35.18,5.9,NA,NA,NA,NA,NA
"5760","Bahrain",1822,NA,30.3,7.02,NA,NA,NA,NA,NA
"5761","Bangladesh",1822,NA,25.5,6.7,NA,NA,NA,NA,NA
"5762","Barbados",1822,NA,32.12,4.7,NA,NA,NA,NA,NA
"5763","Belarus",1822,NA,36.2,7,NA,NA,NA,NA,NA
"5764","Belgium",1822,NA,40.18,4.75,NA,NA,NA,NA,NA
"5765","Belize",1822,NA,26.5,6.68,NA,NA,NA,NA,NA
"5766","Benin",1822,NA,31,5.57,NA,NA,NA,NA,NA
"5767","Bermuda",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5768","Bhutan",1822,NA,28.8,6.67,NA,NA,NA,NA,NA
"5769","Bolivia",1822,NA,33,6.48,NA,NA,NA,NA,NA
"5770","Bosnia and Herzegovina",1822,NA,35.1,5.91,NA,NA,NA,NA,NA
"5771","Botswana",1822,NA,33.6,6.48,NA,NA,NA,NA,NA
"5772","Brazil",1822,NA,32,6.26,NA,NA,NA,NA,NA
"5773","British Virgin Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5774","Brunei",1822,NA,29.2,7.06,NA,NA,NA,NA,NA
"5775","Bulgaria",1822,NA,36.77,5.16,NA,NA,NA,NA,NA
"5776","Burkina Faso",1822,NA,29.2,6.04,NA,NA,NA,NA,NA
"5777","Burundi",1822,NA,31.5,6.8,NA,NA,NA,NA,NA
"5778","Cambodia",1822,NA,35,6.95,NA,NA,NA,NA,NA
"5779","Cameroon",1822,NA,28.75,5.54,NA,NA,NA,NA,NA
"5780","Canada",1822,NA,39.03,5.72,NA,NA,NA,NA,NA
"5781","Cape Verde",1822,NA,33.8,6.46,NA,NA,NA,NA,NA
"5782","Cayman Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5783","Central African Republic",1822,NA,30,6.51,NA,NA,NA,NA,NA
"5784","Chad",1822,NA,30.9,6.06,NA,NA,NA,NA,NA
"5785","Channel Islands",1822,NA,NA,5.07,NA,NA,NA,NA,NA
"5786","Chile",1822,NA,32,5.98,NA,NA,NA,NA,NA
"5787","China",1822,NA,32,5.5,NA,NA,NA,NA,NA
"5788","Christmas Island",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5789","Cocos Island",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5790","Colombia",1822,NA,32,6.19,NA,NA,NA,NA,NA
"5791","Comoros",1822,NA,32.1,6.01,NA,NA,NA,NA,NA
"5792","Congo, Dem. Rep.",1822,NA,31.6,5.99,NA,NA,NA,NA,NA
"5793","Congo, Rep.",1822,NA,32.7,5.67,NA,NA,NA,NA,NA
"5794","Cook Is",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5795","Costa Rica",1822,NA,30.21,6.93,NA,NA,NA,NA,NA
"5796","Cote d'Ivoire",1822,NA,31.16,6.78,NA,NA,NA,NA,NA
"5797","Croatia",1822,NA,36.1,5.75,NA,NA,NA,NA,NA
"5798","Cuba",1822,NA,35.72,5.78,NA,NA,NA,NA,NA
"5799","Cyprus",1822,NA,38.5,6.03,NA,NA,NA,NA,NA
"5800","Czech Republic",1822,NA,34.95,5.16,NA,NA,NA,NA,NA
"5801","Czechoslovakia",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5802","Denmark",1822,NA,43.36,4.2,NA,NA,NA,NA,NA
"5803","Djibouti",1822,NA,29.9,6.3,NA,NA,NA,NA,NA
"5804","Dominica",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5805","Dominican Republic",1822,NA,29.9,6.16,NA,NA,NA,NA,NA
"5806","East Germany",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5807","Ecuador",1822,NA,32.9,6.99,NA,NA,NA,NA,NA
"5808","Egypt",1822,NA,33,6.05,NA,NA,NA,NA,NA
"5809","El Salvador",1822,NA,28.7,5.9,NA,NA,NA,NA,NA
"5810","Equatorial Guinea",1822,NA,29.8,5.51,NA,NA,NA,NA,NA
"5811","Eritrea",1822,NA,30.2,6.96,NA,NA,NA,NA,NA
"5812","Eritrea and Ethiopia",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5813","Estonia",1822,NA,40.27,5.09,NA,NA,NA,NA,NA
"5814","Ethiopia",1822,NA,29.7,7.17,NA,NA,NA,NA,NA
"5815","Faeroe Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5816","Falkland Is (Malvinas)",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5817","Fiji",1822,NA,26.1,6.45,NA,NA,NA,NA,NA
"5818","Finland",1822,NA,34.9,4.59,NA,NA,811.2,NA,NA
"5819","France",1822,NA,38.3,3.82,NA,NA,NA,NA,NA
"5820","French Guiana",1822,NA,30.5,6.27,NA,NA,NA,NA,NA
"5821","French Polynesia",1822,NA,25.6,5.97,NA,NA,NA,NA,NA
"5822","Gabon",1822,NA,30.6,6.5,NA,NA,NA,NA,NA
"5823","Gambia",1822,NA,28.8,6.51,NA,NA,NA,NA,NA
"5824","Georgia",1822,NA,31.87,7.8,NA,NA,NA,NA,NA
"5825","Germany",1822,NA,38.37,5.33,NA,NA,NA,NA,NA
"5826","Ghana",1822,NA,28,6.43,NA,NA,NA,NA,NA
"5827","Gibraltar",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5828","Greece",1822,NA,36.6,6.03,NA,NA,NA,NA,NA
"5829","Greenland",1822,NA,33.87,4.66,NA,NA,NA,NA,NA
"5830","Grenada",1822,NA,31.4,5.81,NA,NA,NA,NA,NA
"5831","Guadeloupe",1822,NA,27.66,5.62,NA,NA,NA,NA,NA
"5832","Guam",1822,NA,27.5,6.37,NA,NA,NA,NA,NA
"5833","Guatemala",1822,NA,25.8,6.45,NA,NA,NA,NA,NA
"5834","Guernsey",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5835","Guinea",1822,NA,29.73,6.11,NA,NA,NA,NA,NA
"5836","Guinea-Bissau",1822,NA,32,7.25,NA,NA,NA,NA,NA
"5837","Guyana",1822,NA,31.12,5.01,NA,NA,NA,NA,NA
"5838","Haiti",1822,NA,29,6.31,NA,NA,NA,NA,NA
"5839","Holy See",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5840","Honduras",1822,NA,33.9,6.1,NA,NA,NA,NA,NA
"5841","Hong Kong, China",1822,NA,34.9,5.47,NA,NA,NA,NA,NA
"5842","Hungary",1822,NA,36,5.18,NA,NA,NA,NA,NA
"5843","Iceland",1822,NA,48.39,4.88,NA,NA,NA,NA,NA
"5844","India",1822,NA,25.44,5.95,NA,NA,NA,NA,NA
"5845","Indonesia",1822,NA,30,6.07,NA,NA,NA,NA,NA
"5846","Iran",1822,NA,25.6,7.08,NA,NA,NA,NA,NA
"5847","Iraq",1822,NA,31.2,7.13,NA,NA,NA,NA,NA
"5848","Ireland",1822,NA,38.3,4.2,NA,NA,NA,NA,NA
"5849","Isle of Man",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5850","Israel",1822,NA,32,5.72,NA,NA,NA,NA,NA
"5851","Italy",1822,NA,29.69,5.47,NA,NA,NA,NA,NA
"5852","Jamaica",1822,NA,34.2,5.13,NA,NA,NA,NA,NA
"5853","Japan",1822,NA,36.41,4.47,NA,NA,NA,NA,NA
"5854","Jersey",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5855","Jordan",1822,NA,31.7,6.97,NA,NA,NA,NA,NA
"5856","Kazakhstan",1822,NA,26.2,6.45,NA,NA,NA,NA,NA
"5857","Kenya",1822,NA,25.5,6.91,NA,NA,NA,NA,NA
"5858","Kiribati",1822,NA,24.9,5.67,NA,NA,NA,NA,NA
"5859","North Korea",1822,NA,26,6.1,NA,NA,NA,NA,NA
"5860","South Korea",1822,NA,25.8,6,NA,NA,NA,NA,NA
"5861","United Korea (former)
",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5862","Kosovo",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5863","Kuwait",1822,NA,26,6.87,NA,NA,NA,NA,NA
"5864","Kyrgyz Republic",1822,NA,23.94,6.58,NA,NA,NA,NA,NA
"5865","Lao",1822,NA,31.9,6.13,NA,NA,NA,NA,NA
"5866","Latvia",1822,NA,33,5.02,NA,NA,NA,NA,NA
"5867","Lebanon",1822,NA,29.7,5.74,NA,NA,NA,NA,NA
"5868","Lesotho",1822,NA,32.8,5.84,NA,NA,NA,NA,NA
"5869","Liberia",1822,NA,31.1,6.19,NA,NA,NA,NA,NA
"5870","Libya",1822,NA,33.1,7.2,NA,NA,NA,NA,NA
"5871","Liechtenstein",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5872","Lithuania",1822,NA,28.9,5.61,NA,NA,NA,NA,NA
"5873","Luxembourg",1822,NA,36.9,4.72,NA,NA,NA,NA,NA
"5874","Macao, China",1822,NA,34.7,5.51,NA,NA,NA,NA,NA
"5875","Macedonia, FYR",1822,NA,36.1,5.9,NA,NA,NA,NA,NA
"5876","Madagascar",1822,NA,30.5,6.89,NA,NA,NA,NA,NA
"5877","Malawi",1822,NA,30.3,6.78,NA,NA,NA,NA,NA
"5878","Malaysia",1822,NA,30.6,5.45,NA,NA,NA,NA,NA
"5879","Maldives",1822,NA,32.65,5.98,NA,NA,NA,NA,NA
"5880","Mali",1822,NA,26.41,6.23,NA,NA,NA,NA,NA
"5881","Malta",1822,NA,28.7,5.49,NA,NA,NA,NA,NA
"5882","Marshall Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5883","Martinique",1822,NA,30.15,5.71,NA,NA,NA,NA,NA
"5884","Mauritania",1822,NA,32,6.34,NA,NA,NA,NA,NA
"5885","Mauritius",1822,NA,28.7,5.03,NA,NA,NA,NA,NA
"5886","Mayotte",1822,NA,32.5,7.07,NA,NA,NA,NA,NA
"5887","Mexico",1822,NA,26.9,6.8,NA,NA,NA,NA,NA
"5888","Micronesia, Fed. Sts.",1822,NA,26.7,6.02,NA,NA,NA,NA,NA
"5889","Moldova",1822,NA,33.15,6.39,NA,NA,NA,NA,NA
"5890","Monaco",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5891","Mongolia",1822,NA,31.8,5.94,NA,NA,NA,NA,NA
"5892","Montenegro",1822,NA,35.4,5.9,NA,NA,NA,NA,NA
"5893","Montserrat",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5894","Morocco",1822,NA,33.1,6.5,NA,NA,NA,NA,NA
"5895","Mozambique",1822,NA,30.28,6.63,NA,NA,NA,NA,NA
"5896","Myanmar",1822,NA,30.8,6.03,NA,NA,NA,NA,NA
"5897","Namibia",1822,NA,32.4,5.96,NA,NA,NA,NA,NA
"5898","Nauru",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5899","Nepal",1822,NA,32.8,6.15,NA,NA,NA,NA,NA
"5900","Netherlands",1822,NA,39.86,5.11,NA,NA,NA,NA,NA
"5901","Netherlands Antilles",1822,NA,34.41,5.8,NA,NA,NA,NA,NA
"5902","New Caledonia",1822,NA,26,6.41,NA,NA,NA,NA,NA
"5903","New Zealand",1822,NA,34.05,5.25,NA,NA,NA,NA,NA
"5904","Ngorno-Karabakh",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5905","Nicaragua",1822,NA,25.4,6.16,NA,NA,NA,NA,NA
"5906","Niger",1822,NA,30.8,6.83,NA,NA,NA,NA,NA
"5907","Nigeria",1822,NA,30.4,6.55,NA,NA,NA,NA,NA
"5908","Niue",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5909","Norfolk Island",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5910","Northern Cyprus",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5911","Northern Mariana Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5912","Norway",1822,NA,46.13,4.74,NA,NA,NA,NA,NA
"5913","Oman",1822,NA,32.3,6.88,NA,NA,NA,NA,NA
"5914","Pakistan",1822,NA,25.8,6.59,NA,NA,NA,NA,NA
"5915","Palau",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5916","Panama",1822,NA,32.9,5.36,NA,NA,NA,NA,NA
"5917","Papua New Guinea",1822,NA,31.5,6.23,NA,NA,NA,NA,NA
"5918","Paraguay",1822,NA,35.5,6.49,NA,NA,NA,NA,NA
"5919","Peru",1822,NA,35.7,6.82,NA,NA,NA,NA,NA
"5920","Philippines",1822,NA,30.9,6.9,NA,NA,NA,NA,NA
"5921","Pitcairn",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5922","Poland",1822,NA,35.9,6.03,NA,NA,NA,NA,NA
"5923","Portugal",1822,NA,35.6,4.5,NA,NA,NA,NA,NA
"5924","Puerto Rico",1822,NA,30.43,5.15,NA,NA,NA,NA,NA
"5925","Qatar",1822,NA,30.8,6.97,NA,NA,NA,NA,NA
"5926","Reunion",1822,NA,33,6.51,NA,NA,NA,NA,NA
"5927","Romania",1822,NA,35.7,5.22,NA,NA,NA,NA,NA
"5928","Russia",1822,NA,29.57,7,NA,NA,NA,NA,NA
"5929","Rwanda",1822,NA,31.8,7.07,NA,NA,NA,NA,NA
"5930","St. Barthélemy",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5931","St. Helena",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5932","St. Kitts and Nevis",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5933","St. Lucia",1822,NA,28.01,5.53,NA,NA,NA,NA,NA
"5934","St. Martin",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5935","St. Vincent and the Grenadines",1822,NA,25.99,6.54,NA,NA,NA,NA,NA
"5936","St.-Pierre-et-Miquelon",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5937","Samoa",1822,NA,25.4,6.98,NA,NA,NA,NA,NA
"5938","San Marino",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5939","Sao Tome and Principe",1822,NA,31,6.23,NA,NA,NA,NA,NA
"5940","Saudi Arabia",1822,NA,32.1,6.86,NA,NA,NA,NA,NA
"5941","Senegal",1822,NA,25.2,5.7,NA,NA,NA,NA,NA
"5942","Serbia",1822,NA,35.5,5.9,NA,NA,NA,NA,NA
"5943","Serbia and Montenegro",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5944","Serbia excluding Kosovo",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5945","Seychelles",1822,NA,37,5.16,NA,NA,NA,NA,NA
"5946","Sierra Leone",1822,NA,25.1,5.72,NA,NA,NA,NA,NA
"5947","Singapore",1822,NA,32.04,5.39,NA,NA,NA,NA,NA
"5948","Slovak Republic",1822,NA,36.4,5.94,NA,NA,NA,NA,NA
"5949","Slovenia",1822,NA,36.6,4.7,NA,NA,NA,NA,NA
"5950","Solomon Islands",1822,NA,25.1,6.42,NA,NA,NA,NA,NA
"5951","Somalia",1822,NA,29.4,6.87,NA,NA,NA,NA,NA
"5952","Somaliland",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5953","South Africa",1822,NA,33.5,6.47,NA,NA,NA,NA,NA
"5954","South Ossetia",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5955","Spain",1822,NA,29.5,5.13,NA,NA,NA,NA,NA
"5956","Sri Lanka",1822,NA,32.6,5.68,NA,NA,NA,NA,NA
"5957","Sudan",1822,NA,31.4,6.64,NA,NA,NA,NA,NA
"5958","Suriname",1822,NA,32.9,6.58,NA,NA,NA,NA,NA
"5959","Svalbard",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5960","Swaziland",1822,NA,32.3,6.71,NA,NA,NA,NA,NA
"5961","Sweden",1822,162,42.76,5.09,NA,NA,780.4,NA,NA
"5962","Switzerland",1822,NA,38,4.14,NA,NA,NA,NA,NA
"5963","Syria",1822,NA,31.1,6.85,NA,NA,NA,NA,NA
"5964","Taiwan",1822,NA,28.3,5.83,NA,NA,NA,NA,NA
"5965","Tajikistan",1822,NA,24.24,5.87,NA,NA,NA,NA,NA
"5966","Tanzania",1822,NA,32.2,6.74,NA,NA,NA,NA,NA
"5967","Thailand",1822,NA,30.4,6.35,NA,NA,NA,NA,NA
"5968","Timor-Leste",1822,NA,28.95,6.52,NA,NA,NA,NA,NA
"5969","Togo",1822,NA,31.3,6.34,NA,NA,NA,NA,NA
"5970","Tokelau",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5971","Tonga",1822,NA,28.2,6.51,NA,NA,NA,NA,NA
"5972","Transnistria",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5973","Trinidad and Tobago",1822,NA,32.9,4.5,NA,NA,NA,NA,NA
"5974","Tunisia",1822,NA,28.8,6.4,NA,NA,NA,NA,NA
"5975","Turkey",1822,NA,35,6.92,NA,NA,NA,NA,NA
"5976","Turkmenistan",1822,NA,24,6.22,NA,NA,NA,NA,NA
"5977","Turks and Caicos Islands",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5978","Tuvalu",1822,NA,NA,NA,NA,NA,NA,NA,NA
"5979","Uganda",1822,NA,25.3,6.89,NA,NA,NA,NA,NA
"5980","Ukraine",1822,NA,36.6,7.5,NA,NA,NA,NA,NA
"5981","United Arab Emirates",1822,NA,30.7,6.94,NA,NA,NA,NA,NA
"5982","United Kingdom",1822,NA,41.35,5.69,NA,NA,NA,NA,NA
"5983","United States",1822,NA,39.41,6.54,NA,NA,NA,NA,NA
"5984","Uruguay",1822,NA,32.9,5.9,NA,NA,NA,NA,NA
"5985","USSR",1822,NA,NA,NA,NA,NA,NA,NA,NA
