ccp,cr,avg_val,rev,exp,pro,ROI
1.07,0.005,126.5,354.67,600,-245.33,-0.41
1.07,0.005,136.5,382.71,600,-217.29,-0.36
1.07,0.006,126.5,425.61,600,-174.39,-0.29
1.07,0.006,136.5,459.25,600,-140.75,-0.23
1.07,0.007,126.5,496.54,600,-103.46,-0.17
1.07,0.007,136.5,535.79,600,-64.21,-0.11
1.07,0.008,126.5,567.48,600,-32.52,-0.05
1.07,0.008,136.5,612.34,600,12.34,0.02
1.07,0.009,126.5,638.41,600,38.41,0.06
1.07,0.009,136.5,688.88,600,88.88,0.15
1.07,0.01,126.5,709.35,600,109.35,0.18
1.07,0.01,136.5,765.42,600,165.42,0.28
1.07,0.011,126.5,780.28,600,180.28,0.3
1.07,0.011,136.5,841.96,600,241.96,0.4
1.07,0.012,126.5,851.21,600,251.21,0.42
1.07,0.012,136.5,918.5,600,318.5,0.53
1.07,0.013,126.5,922.15,600,322.15,0.54
1.07,0.013,136.5,995.05,600,395.05,0.66
1.07,0.014,126.5,993.08,600,393.08,0.66
1.07,0.014,136.5,1071.59,600,471.59,0.79
1.08,0.004,126.5,281.11,600,-318.89,-0.53
1.08,0.004,136.5,303.33,600,-296.67,-0.49
1.08,0.005,126.5,351.39,600,-248.61,-0.41
1.08,0.005,136.5,379.17,600,-220.83,-0.37
1.08,0.006,126.5,421.67,600,-178.33,-0.3
1.08,0.006,136.5,455.0,600,-145.0,-0.24
1.08,0.007,126.5,491.94,600,-108.06,-0.18
1.08,0.007,136.5,530.83,600,-69.17,-0.12
1.08,0.008,126.5,562.22,600,-37.78,-0.06
1.08,0.008,136.5,606.67,600,6.67,0.01
1.08,0.009,126.5,632.5,600,32.5,0.05
1.08,0.009,136.5,682.5,600,82.5,0.14
1.08,0.01,126.5,702.78,600,102.78,0.17
1.08,0.01,136.5,758.33,600,158.33,0.26
1.08,0.011,126.5,773.06,600,173.06,0.29
1.08,0.011,136.5,834.17,600,234.17,0.39
1.08,0.012,126.5,843.33,600,243.33,0.41
1.08,0.012,136.5,910.0,600,310.0,0.52
1.08,0.013,126.5,913.61,600,313.61,0.52
1.08,0.013,136.5,985.83,600,385.83,0.64
1.08,0.014,126.5,983.89,600,383.89,0.64
1.08,0.014,136.5,1061.67,600,461.67,0.77
1.09,0.004,126.5,278.53,600,-321.47,-0.54
1.09,0.004,136.5,300.55,600,-299.45,-0.5
1.09,0.005,126.5,348.17,600,-251.83,-0.42
1.09,0.005,136.5,375.69,600,-224.31,-0.37
1.09,0.006,126.5,417.8,600,-182.2,-0.3
1.09,0.006,136.5,450.83,600,-149.17,-0.25
1.09,0.007,126.5,487.43,600,-112.57,-0.19
1.09,0.007,136.5,525.96,600,-74.04,-0.12
1.09,0.008,126.5,557.06,600,-42.94,-0.07
1.09,0.008,136.5,601.1,600,1.1,0.0
1.09,0.009,126.5,626.7,600,26.7,0.04
1.09,0.009,136.5,676.24,600,76.24,0.13
1.09,0.01,126.5,696.33,600,96.33,0.16
1.09,0.01,136.5,751.38,600,151.38,0.25
1.09,0.011,126.5,765.96,600,165.96,0.28
1.09,0.011,136.5,826.51,600,226.51,0.38
1.09,0.012,126.5,835.6,600,235.6,0.39
1.09,0.012,136.5,901.65,600,301.65,0.5
1.09,0.013,126.5,905.23,600,305.23,0.51
1.09,0.013,136.5,976.79,600,376.79,0.63
1.09,0.014,126.5,974.86,600,374.86,0.62
1.09,0.014,136.5,1051.93,600,451.93,0.75
1.1,0.004,126.5,276.0,600,-324.0,-0.54
1.1,0.004,136.5,297.82,600,-302.18,-0.5
1.1,0.005,126.5,345.0,600,-255.0,-0.42
1.1,0.005,136.5,372.27,600,-227.73,-0.38
1.1,0.006,126.5,414.0,600,-186.0,-0.31
1.1,0.006,136.5,446.73,600,-153.27,-0.26
1.1,0.007,126.5,483.0,600,-117.0,-0.2
1.1,0.007,136.5,521.18,600,-78.82,-0.13
1.1,0.008,126.5,552.0,600,-48.0,-0.08
1.1,0.008,136.5,595.64,600,-4.36,-0.01
1.1,0.009,126.5,621.0,600,21.0,0.04
1.1,0.009,136.5,670.09,600,70.09,0.12
1.1,0.01,126.5,690.0,600,90.0,0.15
1.1,0.01,136.5,744.55,600,144.55,0.24
1.1,0.011,126.5,759.0,600,159.0,0.27
1.1,0.011,136.5,819.0,600,219.0,0.36
1.1,0.012,126.5,828.0,600,228.0,0.38
1.1,0.012,136.5,893.45,600,293.45,0.49
1.1,0.013,126.5,897.0,600,297.0,0.49
1.1,0.013,136.5,967.91,600,367.91,0.61
1.1,0.014,126.5,966.0,600,366.0,0.61
1.1,0.014,136.5,1042.36,600,442.36,0.74
1.11,0.004,126.5,273.51,600,-326.49,-0.54
1.11,0.004,136.5,295.14,600,-304.86,-0.51
1.11,0.005,126.5,341.89,600,-258.11,-0.43
1.11,0.005,136.5,368.92,600,-231.08,-0.39
1.11,0.006,126.5,410.27,600,-189.73,-0.32
1.11,0.006,136.5,442.7,600,-157.3,-0.26
1.11,0.007,126.5,478.65,600,-121.35,-0.2
1.11,0.007,136.5,516.49,600,-83.51,-0.14
1.11,0.008,126.5,547.03,600,-52.97,-0.09
1.11,0.008,136.5,590.27,600,-9.73,-0.02
1.11,0.009,126.5,615.41,600,15.41,0.03
1.11,0.009,136.5,664.05,600,64.05,0.11
1.11,0.01,126.5,683.78,600,83.78,0.14
1.11,0.01,136.5,737.84,600,137.84,0.23
1.11,0.011,126.5,752.16,600,152.16,0.25
1.11,0.011,136.5,811.62,600,211.62,0.35
1.11,0.012,126.5,820.54,600,220.54,0.37
1.11,0.012,136.5,885.41,600,285.41,0.48
1.11,0.013,126.5,888.92,600,288.92,0.48
1.11,0.013,136.5,959.19,600,359.19,0.6
1.11,0.014,126.5,957.3,600,357.3,0.6
1.11,0.014,136.5,1032.97,600,432.97,0.72
1.12,0.004,126.5,271.07,600,-328.93,-0.55
1.12,0.004,136.5,292.5,600,-307.5,-0.51
1.12,0.005,126.5,338.84,600,-261.16,-0.44
1.12,0.005,136.5,365.62,600,-234.38,-0.39
1.12,0.006,126.5,406.61,600,-193.39,-0.32
1.12,0.006,136.5,438.75,600,-161.25,-0.27
1.12,0.007,126.5,474.37,600,-125.63,-0.21
1.12,0.007,136.5,511.87,600,-88.13,-0.15
1.12,0.008,126.5,542.14,600,-57.86,-0.1
1.12,0.008,136.5,585.0,600,-15.0,-0.03
1.12,0.009,126.5,609.91,600,9.91,0.02
1.12,0.009,136.5,658.12,600,58.12,0.1
1.12,0.01,126.5,677.68,600,77.68,0.13
1.12,0.01,136.5,731.25,600,131.25,0.22
1.12,0.011,126.5,745.45,600,145.45,0.24
1.12,0.011,136.5,804.37,600,204.37,0.34
1.12,0.012,126.5,813.21,600,213.21,0.36
1.12,0.012,136.5,877.5,600,277.5,0.46
1.12,0.013,126.5,880.98,600,280.98,0.47
1.12,0.013,136.5,950.62,600,350.62,0.58
1.12,0.014,126.5,948.75,600,348.75,0.58
1.12,0.014,136.5,1023.75,600,423.75,0.71
1.13,0.004,126.5,268.67,600,-331.33,-0.55
1.13,0.004,136.5,289.91,600,-310.09,-0.52
1.13,0.005,126.5,335.84,600,-264.16,-0.44
1.13,0.005,136.5,362.39,600,-237.61,-0.4
1.13,0.006,126.5,403.01,600,-196.99,-0.33
1.13,0.006,136.5,434.87,600,-165.13,-0.28
1.13,0.007,126.5,470.18,600,-129.82,-0.22
1.13,0.007,136.5,507.35,600,-92.65,-0.15
1.13,0.008,126.5,537.35,600,-62.65,-0.1
1.13,0.008,136.5,579.82,600,-20.18,-0.03
1.13,0.009,126.5,604.51,600,4.51,0.01
1.13,0.009,136.5,652.3,600,52.3,0.09
1.13,0.01,126.5,671.68,600,71.68,0.12
1.13,0.01,136.5,724.78,600,124.78,0.21
1.13,0.011,126.5,738.85,600,138.85,0.23
1.13,0.011,136.5,797.26,600,197.26,0.33
1.13,0.012,126.5,806.02,600,206.02,0.34
1.13,0.012,136.5,869.73,600,269.73,0.45
1.13,0.013,126.5,873.19,600,273.19,0.46
1.13,0.013,136.5,942.21,600,342.21,0.57
1.13,0.014,126.5,940.35,600,340.35,0.57
1.13,0.014,136.5,1014.69,600,414.69,0.69
1.14,0.004,126.5,266.32,600,-333.68,-0.56
1.14,0.004,136.5,287.37,600,-312.63,-0.52
1.14,0.005,126.5,332.89,600,-267.11,-0.45
1.14,0.005,136.5,359.21,600,-240.79,-0.4
1.14,0.006,126.5,399.47,600,-200.53,-0.33
1.14,0.006,136.5,431.05,600,-168.95,-0.28
1.14,0.007,126.5,466.05,600,-133.95,-0.22
1.14,0.007,136.5,502.89,600,-97.11,-0.16
1.14,0.008,126.5,532.63,600,-67.37,-0.11
1.14,0.008,136.5,574.74,600,-25.26,-0.04
1.14,0.009,126.5,599.21,600,-0.79,-0.0
1.14,0.009,136.5,646.58,600,46.58,0.08
1.14,0.01,126.5,665.79,600,65.79,0.11
1.14,0.01,136.5,718.42,600,118.42,0.2
1.14,0.011,126.5,732.37,600,132.37,0.22
1.14,0.011,136.5,790.26,600,190.26,0.32
1.14,0.012,126.5,798.95,600,198.95,0.33
1.14,0.012,136.5,862.11,600,262.11,0.44
1.14,0.013,126.5,865.53,600,265.53,0.44
1.14,0.013,136.5,933.95,600,333.95,0.56
1.14,0.014,126.5,932.11,600,332.11,0.55
1.14,0.014,136.5,1005.79,600,405.79,0.68
1.15,0.004,126.5,264.0,600,-336.0,-0.56
1.15,0.004,136.5,284.87,600,-315.13,-0.53
1.15,0.005,126.5,330.0,600,-270.0,-0.45
1.15,0.005,136.5,356.09,600,-243.91,-0.41
1.15,0.006,126.5,396.0,600,-204.0,-0.34
1.15,0.006,136.5,427.3,600,-172.7,-0.29
1.15,0.007,126.5,462.0,600,-138.0,-0.23
1.15,0.007,136.5,498.52,600,-101.48,-0.17
1.15,0.008,126.5,528.0,600,-72.0,-0.12
1.15,0.008,136.5,569.74,600,-30.26,-0.05
1.15,0.009,126.5,594.0,600,-6.0,-0.01
1.15,0.009,136.5,640.96,600,40.96,0.07
1.15,0.01,126.5,660.0,600,60.0,0.1
1.15,0.01,136.5,712.17,600,112.17,0.19
1.15,0.011,126.5,726.0,600,126.0,0.21
1.15,0.011,136.5,783.39,600,183.39,0.31
1.15,0.012,126.5,792.0,600,192.0,0.32
1.15,0.012,136.5,854.61,600,254.61,0.42
1.15,0.013,126.5,858.0,600,258.0,0.43
1.15,0.013,136.5,925.83,600,325.83,0.54
1.15,0.014,126.5,924.0,600,324.0,0.54
1.15,0.014,136.5,997.04,600,397.04,0.66
1.16,0.004,126.5,261.72,600,-338.28,-0.56
1.16,0.004,136.5,282.41,600,-317.59,-0.53
1.16,0.005,126.5,327.16,600,-272.84,-0.45
1.16,0.005,136.5,353.02,600,-246.98,-0.41
1.16,0.006,126.5,392.59,600,-207.41,-0.35
1.16,0.006,136.5,423.62,600,-176.38,-0.29
1.16,0.007,126.5,458.02,600,-141.98,-0.24
1.16,0.007,136.5,494.22,600,-105.78,-0.18
1.16,0.008,126.5,523.45,600,-76.55,-0.13
1.16,0.008,136.5,564.83,600,-35.17,-0.06
1.16,0.009,126.5,588.88,600,-11.12,-0.02
1.16,0.009,136.5,635.43,600,35.43,0.06
1.16,0.01,126.5,654.31,600,54.31,0.09
1.16,0.01,136.5,706.03,600,106.03,0.18
1.16,0.011,126.5,719.74,600,119.74,0.2
1.16,0.011,136.5,776.64,600,176.64,0.29
1.16,0.012,126.5,785.17,600,185.17,0.31
1.16,0.012,136.5,847.24,600,247.24,0.41
1.16,0.013,126.5,850.6,600,250.6,0.42
1.16,0.013,136.5,917.84,600,317.84,0.53
1.16,0.014,126.5,916.03,600,316.03,0.53
1.16,0.014,136.5,988.45,600,388.45,0.65
1.17,0.004,126.5,259.49,600,-340.51,-0.57
1.17,0.004,136.5,280.0,600,-320.0,-0.53
1.17,0.005,126.5,324.36,600,-275.64,-0.46
1.17,0.005,136.5,350.0,600,-250.0,-0.42
1.17,0.006,126.5,389.23,600,-210.77,-0.35
1.17,0.006,136.5,420.0,600,-180.0,-0.3
1.17,0.007,126.5,454.1,600,-145.9,-0.24
1.17,0.007,136.5,490.0,600,-110.0,-0.18
1.17,0.008,126.5,518.97,600,-81.03,-0.14
1.17,0.008,136.5,560.0,600,-40.0,-0.07
1.17,0.009,126.5,583.85,600,-16.15,-0.03
1.17,0.009,136.5,630.0,600,30.0,0.05
1.17,0.01,126.5,648.72,600,48.72,0.08
1.17,0.01,136.5,700.0,600,100.0,0.17
1.17,0.011,126.5,713.59,600,113.59,0.19
1.17,0.011,136.5,770.0,600,170.0,0.28
1.17,0.012,126.5,778.46,600,178.46,0.3
1.17,0.012,136.5,840.0,600,240.0,0.4
1.17,0.013,126.5,843.33,600,243.33,0.41
1.17,0.013,136.5,910.0,600,310.0,0.52
1.17,0.014,126.5,908.21,600,308.21,0.51
1.17,0.014,136.5,980.0,600,380.0,0.63
1.18,0.004,126.5,257.29,600,-342.71,-0.57
1.18,0.004,136.5,277.63,600,-322.37,-0.54
1.18,0.005,126.5,321.61,600,-278.39,-0.46
1.18,0.005,136.5,347.03,600,-252.97,-0.42
1.18,0.006,126.5,385.93,600,-214.07,-0.36
1.18,0.006,136.5,416.44,600,-183.56,-0.31
1.18,0.007,126.5,450.25,600,-149.75,-0.25
1.18,0.007,136.5,485.85,600,-114.15,-0.19
1.18,0.008,126.5,514.58,600,-85.42,-0.14
1.18,0.008,136.5,555.25,600,-44.75,-0.07
1.18,0.009,126.5,578.9,600,-21.1,-0.04
1.18,0.009,136.5,624.66,600,24.66,0.04
1.18,0.01,126.5,643.22,600,43.22,0.07
1.18,0.01,136.5,694.07,600,94.07,0.16
1.18,0.011,126.5,707.54,600,107.54,0.18
1.18,0.011,136.5,763.47,600,163.47,0.27
1.18,0.012,126.5,771.86,600,171.86,0.29
1.18,0.012,136.5,832.88,600,232.88,0.39
1.18,0.013,126.5,836.19,600,236.19,0.39
1.18,0.013,136.5,902.29,600,302.29,0.5
1.18,0.014,126.5,900.51,600,300.51,0.5
1.18,0.014,136.5,971.69,600,371.69,0.62
1.19,0.004,126.5,255.13,600,-344.87,-0.57
1.19,0.004,136.5,275.29,600,-324.71,-0.54
1.19,0.005,126.5,318.91,600,-281.09,-0.47
1.19,0.005,136.5,344.12,600,-255.88,-0.43
1.19,0.006,126.5,382.69,600,-217.31,-0.36
1.19,0.006,136.5,412.94,600,-187.06,-0.31
1.19,0.007,126.5,446.47,600,-153.53,-0.26
1.19,0.007,136.5,481.76,600,-118.24,-0.2
1.19,0.008,126.5,510.25,600,-89.75,-0.15
1.19,0.008,136.5,550.59,600,-49.41,-0.08
1.19,0.009,126.5,574.03,600,-25.97,-0.04
1.19,0.009,136.5,619.41,600,19.41,0.03
1.19,0.01,126.5,637.82,600,37.82,0.06
1.19,0.01,136.5,688.24,600,88.24,0.15
1.19,0.011,126.5,701.6,600,101.6,0.17
1.19,0.011,136.5,757.06,600,157.06,0.26
1.19,0.012,126.5,765.38,600,165.38,0.28
1.19,0.012,136.5,825.88,600,225.88,0.38
1.19,0.013,126.5,829.16,600,229.16,0.38
1.19,0.013,136.5,894.71,600,294.71,0.49
1.19,0.014,126.5,892.94,600,292.94,0.49
1.19,0.014,136.5,963.53,600,363.53,0.61
1.2,0.004,126.5,253.0,600,-347.0,-0.58
1.2,0.004,136.5,273.0,600,-327.0,-0.55
1.2,0.005,126.5,316.25,600,-283.75,-0.47
1.2,0.005,136.5,341.25,600,-258.75,-0.43
1.2,0.006,126.5,379.5,600,-220.5,-0.37
1.2,0.006,136.5,409.5,600,-190.5,-0.32
1.2,0.007,126.5,442.75,600,-157.25,-0.26
1.2,0.007,136.5,477.75,600,-122.25,-0.2
1.2,0.008,126.5,506.0,600,-94.0,-0.16
1.2,0.008,136.5,546.0,600,-54.0,-0.09
1.2,0.009,126.5,569.25,600,-30.75,-0.05
1.2,0.009,136.5,614.25,600,14.25,0.02
1.2,0.01,126.5,632.5,600,32.5,0.05
1.2,0.01,136.5,682.5,600,82.5,0.14
1.2,0.011,126.5,695.75,600,95.75,0.16
1.2,0.011,136.5,750.75,600,150.75,0.25
1.2,0.012,126.5,759.0,600,159.0,0.27
1.2,0.012,136.5,819.0,600,219.0,0.36
1.2,0.013,126.5,822.25,600,222.25,0.37
1.2,0.013,136.5,887.25,600,287.25,0.48
1.2,0.014,126.5,885.5,600,285.5,0.48
1.2,0.014,136.5,955.5,600,355.5,0.59
