ccp,cr,avg_val,rev,exp,pro,ROI
0.8,0.007,136.5,716.62,600,116.62,0.19
0.8,0.008,126.5,759.0,600,159.0,0.27
0.8,0.008,136.5,819.0,600,219.0,0.36
0.8,0.009,126.5,853.87,600,253.87,0.42
0.8,0.009,136.5,921.37,600,321.37,0.54
0.8,0.01,126.5,948.75,600,348.75,0.58
0.8,0.01,136.5,1023.75,600,423.75,0.71
0.8,0.011,126.5,1043.62,600,443.62,0.74
0.8,0.011,136.5,1126.12,600,526.12,0.88
0.8,0.012,126.5,1138.5,600,538.5,0.9
0.8,0.012,136.5,1228.5,600,628.5,1.05
0.8,0.013,126.5,1233.38,600,633.38,1.06
0.8,0.013,136.5,1330.88,600,730.88,1.22
0.8,0.014,126.5,1328.25,600,728.25,1.21
0.8,0.014,136.5,1433.25,600,833.25,1.39
0.81,0.004,126.5,374.81,600,-225.19,-0.38
0.81,0.004,136.5,404.44,600,-195.56,-0.33
0.81,0.005,126.5,468.52,600,-131.48,-0.22
0.81,0.005,136.5,505.56,600,-94.44,-0.16
0.81,0.006,126.5,562.22,600,-37.78,-0.06
0.81,0.006,136.5,606.67,600,6.67,0.01
0.81,0.007,126.5,655.93,600,55.93,0.09
0.81,0.007,136.5,707.78,600,107.78,0.18
0.81,0.008,126.5,749.63,600,149.63,0.25
0.81,0.008,136.5,808.89,600,208.89,0.35
0.81,0.009,126.5,843.33,600,243.33,0.41
0.81,0.009,136.5,910.0,600,310.0,0.52
0.81,0.01,126.5,937.04,600,337.04,0.56
0.81,0.01,136.5,1011.11,600,411.11,0.69
0.81,0.011,126.5,1030.74,600,430.74,0.72
0.81,0.011,136.5,1112.22,600,512.22,0.85
0.81,0.012,126.5,1124.44,600,524.44,0.87
0.81,0.012,136.5,1213.33,600,613.33,1.02
0.81,0.013,126.5,1218.15,600,618.15,1.03
0.81,0.013,136.5,1314.44,600,714.44,1.19
0.81,0.014,126.5,1311.85,600,711.85,1.19
0.81,0.014,136.5,1415.56,600,815.56,1.36
0.82,0.004,126.5,370.24,600,-229.76,-0.38
0.82,0.004,136.5,399.51,600,-200.49,-0.33
0.82,0.005,126.5,462.8,600,-137.2,-0.23
0.82,0.005,136.5,499.39,600,-100.61,-0.17
0.82,0.006,126.5,555.37,600,-44.63,-0.07
0.82,0.006,136.5,599.27,600,-0.73,-0.0
0.82,0.007,126.5,647.93,600,47.93,0.08
0.82,0.007,136.5,699.15,600,99.15,0.17
0.82,0.008,126.5,740.49,600,140.49,0.23
0.82,0.008,136.5,799.02,600,199.02,0.33
0.82,0.009,126.5,833.05,600,233.05,0.39
0.82,0.009,136.5,898.9,600,298.9,0.5
0.82,0.01,126.5,925.61,600,325.61,0.54
0.82,0.01,136.5,998.78,600,398.78,0.66
0.82,0.011,126.5,1018.17,600,418.17,0.7
0.82,0.011,136.5,1098.66,600,498.66,0.83
0.82,0.012,126.5,1110.73,600,510.73,0.85
0.82,0.012,136.5,1198.54,600,598.54,1.0
0.82,0.013,126.5,1203.29,600,603.29,1.01
0.82,0.013,136.5,1298.41,600,698.41,1.16
0.82,0.014,126.5,1295.85,600,695.85,1.16
0.82,0.014,136.5,1398.29,600,798.29,1.33
0.83,0.004,126.5,365.78,600,-234.22,-0.39
0.83,0.004,136.5,394.7,600,-205.3,-0.34
0.83,0.005,126.5,457.23,600,-142.77,-0.24
0.83,0.005,136.5,493.37,600,-106.63,-0.18
0.83,0.006,126.5,548.67,600,-51.33,-0.09
0.83,0.006,136.5,592.05,600,-7.95,-0.01
0.83,0.007,126.5,640.12,600,40.12,0.07
0.83,0.007,136.5,690.72,600,90.72,0.15
0.83,0.008,126.5,731.57,600,131.57,0.22
0.83,0.008,136.5,789.4,600,189.4,0.32
0.83,0.009,126.5,823.01,600,223.01,0.37
